Delivery Start (CET);Delivery End (CET);SE1 High Price (EUR/MWh);SE1 Low Price (EUR/MWh);SE1 Open Price (EUR/MWh);SE1 Close Price (EUR/MWh);SE1 Average Price (EUR/MWh);SE1 Volume (MW);SE1 Buy Volume (MW);SE1 Sell Volume (MW);SE1 Average Price Last 3 H (EUR/MWh);SE1 Open Trade Time (CET);SE1 Close Trade Time (CET);SE2 High Price (EUR/MWh);SE2 Low Price (EUR/MWh);SE2 Open Price (EUR/MWh);SE2 Close Price (EUR/MWh);SE2 Average Price (EUR/MWh);SE2 Volume (MW);SE2 Buy Volume (MW);SE2 Sell Volume (MW);SE2 Average Price Last 3 H (EUR/MWh);SE2 Open Trade Time (CET);SE2 Close Trade Time (CET);SE3 High Price (EUR/MWh);SE3 Low Price (EUR/MWh);SE3 Open Price (EUR/MWh);SE3 Close Price (EUR/MWh);SE3 Average Price (EUR/MWh);SE3 Volume (MW);SE3 Buy Volume (MW);SE3 Sell Volume (MW);SE3 Average Price Last 3 H (EUR/MWh);SE3 Open Trade Time (CET);SE3 Close Trade Time (CET);SE4 High Price (EUR/MWh);SE4 Low Price (EUR/MWh);SE4 Open Price (EUR/MWh);SE4 Close Price (EUR/MWh);SE4 Average Price (EUR/MWh);SE4 Volume (MW);SE4 Buy Volume (MW);SE4 Sell Volume (MW);SE4 Average Price Last 3 H (EUR/MWh);SE4 Open Trade Time (CET);SE4 Close Trade Time (CET)
22.02.2024 09:00:00;22.02.2024 10:00:00;35;28.29;29.16;30.3;31.61;86.7;77.5;49;32.24;22.02.2024 02:57:47;22.02.2024 07:56:36;35;25.99;29.16;34.71;32.15;105.9;81.1;74.3;32.23;22.02.2024 02:57:47;22.02.2024 07:59:00;72.61;55;72.61;56.6;64.93;303;129.2;233.5;64.16;21.02.2024 15:00:11;22.02.2024 07:59:35;72.61;55;72.61;56.56;66.65;100.8;77.9;27.1;65.27;21.02.2024 15:00:11;22.02.2024 07:59:00
22.02.2024 10:00:00;22.02.2024 11:00:00;35.27;24;24;35.27;31.52;49.1;41.5;8.1;31.52;22.02.2024 07:14:37;22.02.2024 08:59:34;35.27;24;34.99;35.27;31.97;128.6;96.6;108.5;31.95;22.02.2024 05:53:12;22.02.2024 08:59:34;68.63;42.6;67.51;42.6;61.16;289.6;60.2;278.3;60.75;21.02.2024 15:00:11;22.02.2024 08:59:09;67.51;48.4;65.53;49;61.86;104.9;75.4;36.5;59.85;21.02.2024 15:00:00;22.02.2024 08:59:12
22.02.2024 11:00:00;22.02.2024 12:00:00;50;29.3;36.51;30.1;35.85;99.8;64;49.6;35.89;21.02.2024 20:51:24;22.02.2024 09:55:16;50;29.3;36.51;30.39;39.01;169.8;101;121;39.3;21.02.2024 20:51:24;22.02.2024 09:54:53;70;54.11;65.33;56.2;64.26;469.7;227.6;259.7;64.71;21.02.2024 15:26:05;22.02.2024 09:59:00;70;55;65.1;56.4;64;132.7;52.9;81.7;64.6;21.02.2024 15:00:00;22.02.2024 09:57:18
22.02.2024 12:00:00;22.02.2024 13:00:00;50;29;36.25;36.25;35.19;176.7;131.3;92;36.41;21.02.2024 20:53:45;22.02.2024 10:59:05;50;29.1;36.25;36.25;38.27;241.8;134.8;188;39.63;21.02.2024 20:53:45;22.02.2024 10:59:05;61.84;48.99;55;52.3;53.93;306.3;152;220.9;53.26;21.02.2024 15:28:39;22.02.2024 10:59:29;70;54.87;59.28;59.57;61.09;114;38.6;76.8;66.56;21.02.2024 15:00:11;22.02.2024 10:59:01
22.02.2024 13:00:00;22.02.2024 14:00:00;40.27;26;40.27;28.88;32.57;242.4;107.9;146.7;30.26;21.02.2024 20:53:45;22.02.2024 11:59:46;57.21;26.09;57.21;29.1;38.14;321.3;174.3;215.6;32.35;21.02.2024 15:00:00;22.02.2024 11:52:27;57.21;25.3;57.21;25.3;39.21;272.1;95.6;205.4;35.43;21.02.2024 15:00:00;22.02.2024 11:57:23;68;52.5;57.47;67;60.08;83;33.4;49.7;66.09;21.02.2024 15:00:03;22.02.2024 11:56:17
22.02.2024 14:00:00;22.02.2024 15:00:00;40.52;25.28;34.94;26;32.04;469.8;241.5;236;27.33;21.02.2024 15:00:11;22.02.2024 12:59:00;40.52;25.2;33;27.26;33.35;462.5;212.8;297.2;27.09;21.02.2024 15:05:11;22.02.2024 12:59:04;37.05;26;34.94;27;32.13;258.3;131.6;153.6;30.17;21.02.2024 15:00:11;22.02.2024 12:58:39;77.29;52.67;56.4;77.29;60.06;66.2;31.9;37.2;61.36;21.02.2024 15:00:03;22.02.2024 12:59:00
22.02.2024 15:00:00;22.02.2024 16:00:00;36.17;26.2;34.45;28;30.84;600.9;269.5;345;28.52;21.02.2024 15:00:11;22.02.2024 13:51:55;47.01;26.01;47.01;26.01;34.96;502;248.5;343.5;28.91;21.02.2024 15:00:00;22.02.2024 13:59:07;36.17;26.1;34.45;30;30.98;497.3;305;225.7;29.15;21.02.2024 15:00:11;22.02.2024 13:59:07;80.52;59.97;60.99;73.2;73.83;166.6;61.3;105.3;77.65;21.02.2024 22:48:03;22.02.2024 13:55:01
22.02.2024 16:00:00;22.02.2024 17:00:00;35.52;28;34.11;28.89;32.43;455.5;132.8;358.5;30.51;21.02.2024 15:00:11;22.02.2024 14:59:11;43.19;26.01;43.19;26.01;34.71;462.6;283.2;202.7;28.38;21.02.2024 15:00:00;22.02.2024 14:59:11;35.54;26;34.11;28.89;31.61;408.4;242.5;173.8;29.42;21.02.2024 15:00:11;22.02.2024 14:59:11;78.67;56.28;56.97;74.17;66.16;101.6;31.1;73.2;71.39;21.02.2024 20:31:19;22.02.2024 14:54:50
22.02.2024 17:00:00;22.02.2024 18:00:00;39.61;27.3;34.14;31.9;32.57;335.3;74;262.3;30.64;21.02.2024 15:00:11;22.02.2024 15:59:12;44.05;26.11;43.05;31.9;34.84;640.2;389.2;285.9;31.62;21.02.2024 15:00:00;22.02.2024 15:59:26;38.39;26.11;34.14;31.9;33.13;453;234.6;252.8;31.79;21.02.2024 15:00:11;22.02.2024 15:59:26;77.8;34.9;34.9;49.2;49.56;52.9;50.7;35.1;51.19;22.02.2024 11:00:15;22.02.2024 15:59:18
22.02.2024 18:00:00;22.02.2024 19:00:00;36.14;26.12;33.82;26.12;30.97;286.2;55.1;231.1;29.7;21.02.2024 15:00:11;22.02.2024 16:35:55;42.47;18.7;42.47;19;32.28;517;251.6;285;29.5;21.02.2024 15:00:00;22.02.2024 16:56:30;36.14;24.1;33.82;26;30.37;454;277.5;193.8;28.04;21.02.2024 15:00:11;22.02.2024 16:42:06;47.8;35;47.8;39;37.37;9;7;3;37.37;22.02.2024 15:08:34;22.02.2024 16:59:31
22.02.2024 19:00:00;22.02.2024 20:00:00;36.77;24.18;31.24;30;29.77;199.1;129.3;69.8;28.15;21.02.2024 15:00:11;22.02.2024 17:58:58;39.98;23.51;39.67;30;32.97;543.3;336.3;287.4;29.34;21.02.2024 15:00:00;22.02.2024 17:59:45;39.98;26;31.24;31.17;31.59;391.5;164;256.3;28.09;21.02.2024 15:00:11;22.02.2024 17:59:37;39.99;26.3;30;30;32.21;22.7;22.7;0.4;32.21;22.02.2024 17:33:26;22.02.2024 17:58:16
22.02.2024 20:00:00;22.02.2024 21:00:00;32.45;25.5;32.45;30.99;28.37;119.6;79.4;40.2;27.35;22.02.2024 01:32:33;22.02.2024 18:57:55;38.17;20.99;38.17;31.4;29.77;676;486.8;279.4;28.54;21.02.2024 15:00:00;22.02.2024 18:59:13;35.93;25.05;34.36;31.4;28.99;365.1;143.5;258.6;27.55;21.02.2024 19:35:41;22.02.2024 18:59:47;36;26.1;36;31.55;29.86;67.3;59.6;11.7;29.42;22.02.2024 13:37:46;22.02.2024 18:58:06
